사용단어	가중치	사용횟수	단어승률
교실	78	100	0.78
교양	80	100	0.8
교외	82	100	0.82
교육	97	100	0.97
교육비	85	100	0.85
교육자	76	100	0.76
교장	75	100	0.75
교재	80	100	0.8
교직	99	100	0.99
교체	74	100	0.74
교통	94	100	0.94
교통사고	79	100	0.79
교포	93	100	0.93
교환	65	100	0.65
교회	100	100	1.0
교훈	0	100	0.0
구경	70	100	0.7
구두	55	100	0.55
구름	100	100	1.0
구멍	100	100	1.0
구별	100	100	1.0
구분	82	100	0.82
구석	100	100	1.0
구석구석	100	100	1.0
구성	76	100	0.76
구속	96	100	0.96
구역	100	100	1.0
구월	41	100	0.41
구입	84	100	0.84
구조	81	100	0.81
구청	46	100	0.46
구체적	84	100	0.84
국가	80	100	0.8
국가적	79	100	0.79
국기	89	100	0.89
국내	78	100	0.78
국내선	86	100	0.86
국내외	80	100	0.8
국립	100	100	1.0
국물	90	100	0.9
국민	80	100	0.8
국민적	81	100	0.81
국사	85	100	0.85
국산	94	100	0.94
국수	88	100	0.88
국어	54	100	0.54
국왕	100	100	1.0
국적	82	100	0.82
국제	100	100	1.0
국제선	91	100	0.91
국제적	74	100	0.74
국제화	100	100	1.0
국회	98	100	0.98
국회의원	85	100	0.85
군대	84	100	0.84
군사	82	100	0.82
군인	84	100	0.84
궁극적	75	100	0.75
권리	48	100	0.48
권위	67	100	0.67
권투	100	100	1.0
귀가	76	100	0.76
귀국	98	100	0.98
귀신	90	100	0.9
귓속	98	100	0.98
규모	80	100	0.8
규정	100	100	1.0
규칙	100	100	1.0
규칙적	78	100	0.78
균형	91	100	0.91
그간	81	100	0.81
그날	99	100	0.99
그늘	100	100	1.0
그다음	78	100	0.78
그동안	82	100	0.82
그때	100	100	1.0
그래픽	100	100	1.0
그룹	100	100	1.0
그릇	100	100	1.0
그리움	89	100	0.89
그림	100	100	1.0
그림자	84	100	0.84
그사이	83	100	0.83
그저께	100	100	1.0
그전	97	100	0.97
그중	86	100	0.86
그해	98	100	0.98
극복	93	100	0.93
극작가	73	100	0.73
극장	72	100	0.72
근거	81	100	0.81
근교	98	100	0.98
근래	100	100	1.0
근로	40	100	0.4
근로자	86	100	0.86
근무	73	100	0.73
근본	83	100	0.83
근본적	83	100	0.83
근원	82	100	0.82
근육	97	100	0.97
근처	78	100	0.78
글쓰기	81	100	0.81
글씨	0	100	0.0
글자	83	100	0.83
금강산	93	100	0.93
금고	74	100	0.74
금년	100	100	1.0
금메달	46	100	0.46
금액	100	100	1.0
금연	91	100	0.91
금요일	98	100	0.98
금지	89	100	0.89
긍정적	74	100	0.74
기간	79	100	0.79
기계	62	100	0.62
기관	74	100	0.74
기구	87	100	0.87
기기	79	100	0.79
기념	100	100	1.0
기념일	94	100	0.94
기념품	100	100	1.0
기능	46	100	0.46
기대	87	100	0.87
기도	80	100	0.8
기독교	92	100	0.92
기둥	100	100	1.0
기록	100	100	1.0
기름	100	100	1.0
기법	51	100	0.51
기본	87	100	0.87
기본적	80	100	0.8
기분	82	100	0.82
기쁨	100	100	1.0
기사	80	100	0.8
기성	81	100	0.81
기성세대	90	100	0.9
기숙사	83	100	0.83
기술	86	100	0.86
기술자	84	100	0.84
기억	100	100	1.0
기업	100	100	1.0
기업인	85	100	0.85
기여	82	100	0.82
기온	97	100	0.97
기운	99	100	0.99
기원	86	100	0.86
기원전	93	100	0.93
기자	79	100	0.79
기적	72	100	0.72
기준	100	100	1.0
기차	65	100	0.65
기초	88	100	0.88
기초적	88	100	0.88
기침	65	100	0.65
기타	62	100	0.62
기호	79	100	0.79
기혼	100	100	1.0
기회	98	100	0.98
기획	100	100	1.0
기후	84	100	0.84
긴급	100	100	1.0
긴장	79	100	0.79
긴장감	100	100	1.0
길가	81	100	0.81
길거리	42	100	0.42
길이	88	100	0.88
김밥	21	100	0.21
김치	75	100	0.75
김치찌개	99	100	0.99
김포공항	100	100	1.0
깊이	93	100	0.93
까닭	100	100	1.0
까만색	44	100	0.44
까치	75	100	0.75
깍두기	83	100	0.83
깡패	0	100	0.0
깨달음	79	100	0.79
깨소금	85	100	0.85
껍질	96	100	0.96
꼬리	43	100	0.43
꼬마	69	100	0.69
꼭대기	85	100	0.85
꽃씨	0	100	0.0
꽃잎	100	100	1.0
꾸중	87	100	0.87
꿈속	99	100	0.99
나들이	85	100	0.85
나라	73	100	0.73
나머지	93	100	0.93
나무	78	100	0.78
나물	94	100	0.94
나뭇가지	93	100	0.93
나뭇잎	100	100	1.0
나비	76	100	0.76
나이	83	100	0.83
나중	87	100	0.87
나침반	91	100	0.91
나흘	100	100	1.0
낙엽	100	100	1.0
낚시	80	100	0.8
낚시꾼	100	100	1.0
낚싯대	87	100	0.87
난리	47	100	0.47
난방	90	100	0.9
날개	99	100	0.99
날씨	0	100	0.0
날짜	98	100	0.98
남녀	100	100	1.0
남대문	92	100	0.92
남대문시장	74	100	0.74
남동생	91	100	0.91
남매	71	100	0.71
남미	82	100	0.82
남부	94	100	0.94
남북	74	100	0.74
남산	92	100	0.92
남성	84	100	0.84
남자	91	100	0.91
남쪽	100	100	1.0
남편	100	100	1.0
남학생	88	100	0.88
낭비	82	100	0.82
낱말	60	100	0.6
내과	99	100	0.99
내년	100	100	1.0
내달	52	100	0.52
내부	90	100	0.9
내외	89	100	0.89
내용	73	100	0.73
내용물	90	100	0.9
내일	97	100	0.97
내적	77	100	0.77
내후년	100	100	1.0
냄비	82	100	0.82
냄새	53	100	0.53
냇물	93	100	0.93
냉동	85	100	0.85
냉면	97	100	0.97
냉방	89	100	0.89
냉장고	83	100	0.83
너머	77	100	0.77
네거리	47	100	0.47
넥타이	92	100	0.92
노동	82	100	0.82
노동자	79	100	0.79
노란색	57	100	0.57
노래	100	100	1.0
노래방	91	100	0.91
노랫소리	48	100	0.48
노력	100	100	1.0
노선	92	100	0.92
노인	80	100	0.8
노트	0	100	0.0
녹색	44	100	0.44
녹음	81	100	0.81
녹차	71	100	0.71
녹화	100	100	1.0
논리	45	100	0.45
논리적	80	100	0.8
논문	94	100	0.94
논쟁	100	100	1.0
놀이	82	100	0.82
놀이터	0	100	0.0
농구	81	100	0.81
농담	96	100	0.96
농민	81	100	0.81
농부	90	100	0.9
농사	79	100	0.79
농사일	94	100	0.94
농산물	93	100	0.93
농업	100	100	1.0
농장	74	100	0.74
농촌	100	100	1.0
높이	88	100	0.88
누나	87	100	0.87
눈가	74	100	0.74
눈길	100	100	1.0
눈동자	77	100	0.77
눈물	92	100	0.92
눈병	100	100	1.0
눈빛	0	100	0.0
눈썹	100	100	1.0
눈앞	85	100	0.85
뉴스	88	100	0.88
뉴욕	100	100	1.0
느낌	100	100	1.0
늑대	86	100	0.86
능동적	79	100	0.79
능력	100	100	1.0
늦가을	100	100	1.0
다리	55	100	0.55
다방	95	100	0.95
다수	96	100	0.96
다양성	73	100	0.73
다음	78	100	0.78
다이어트	0	100	0.0
다툼	100	100	1.0
다행	100	100	1.0
단계	73	100	0.73
단골	94	100	0.94
단독	78	100	0.78
단맛	100	100	1.0
단순	100	100	1.0
단어	56	100	0.56
단위	79	100	0.79
단점	73	100	0.73
단지	93	100	0.93
단체	72	100	0.72
단추	62	100	0.62
단편	99	100	0.99
단풍	88	100	0.88
달걀	100	100	1.0
달러	100	100	1.0
달력	100	100	1.0
달리기	85	100	0.85
달빛	0	100	0.0
닭고기	84	100	0.84
담당	100	100	1.0
담당자	81	100	0.81
담배	81	100	0.81
담요	89	100	0.89
담임	100	100	1.0
답변	100	100	1.0
답장	84	100	0.84
닷새	46	100	0.46
당근	91	100	0.91
당시	85	100	0.85
당장	83	100	0.83
대가	80	100	0.8
대개	99	100	0.99
대구	81	100	0.81
대규모	83	100	0.83
대기	89	100	0.89
대기업	100	100	1.0
대낮	100	100	1.0
대다수	93	100	0.93
대답	100	100	1.0
대도시	83	100	0.83
대량	100	100	1.0
대륙	100	100	1.0
대문	90	100	0.9
대부분	84	100	0.84
대비	79	100	0.79
대사	82	100	0.82
대사관	70	100	0.7
대상자	87	100	0.87
대신	90	100	0.9
대응	100	100	1.0
대입	87	100	0.87
대전	94	100	0.94
대접	56	100	0.56
